Number of nodes = 1521
mode number = 1, l = 1, m = -1
mode number = 2, l = 1, m = 0
mode number = 3, l = 1, m = 1
mode number = 4, l = 2, m = -2
mode number = 5, l = 2, m = -1
mode number = 6, l = 2, m = 0
mode number = 7, l = 2, m = 1
mode number = 8, l = 2, m = 2
mode number = 9, l = 3, m = -3
mode number = 10, l = 3, m = -2
mode number = 11, l = 3, m = -1
mode number = 12, l = 3, m = 0
mode number = 13, l = 3, m = 1
mode number = 14, l = 3, m = 2
mode number = 15, l = 3, m = 3
mode number = 16, l = 4, m = -4
mode number = 17, l = 4, m = -3
mode number = 18, l = 4, m = -2
mode number = 19, l = 4, m = -1
mode number = 20, l = 4, m = 0
mode number = 21, l = 4, m = 1
mode number = 22, l = 4, m = 2
mode number = 23, l = 4, m = 3
mode number = 24, l = 4, m = 4
mode number = 25, l = 5, m = -5
mode number = 26, l = 5, m = -4
mode number = 27, l = 5, m = -3
mode number = 28, l = 5, m = -2
mode number = 29, l = 5, m = -1
mode number = 30, l = 5, m = 0
mode number = 31, l = 5, m = 1
mode number = 32, l = 5, m = 2
mode number = 33, l = 5, m = 3
mode number = 34, l = 5, m = 4
mode number = 35, l = 5, m = 5
mode number = 36, l = 6, m = -6
mode number = 37, l = 6, m = -5
mode number = 38, l = 6, m = -4
mode number = 39, l = 6, m = -3
mode number = 40, l = 6, m = -2
mode number = 41, l = 6, m = -1
mode number = 42, l = 6, m = 0
mode number = 43, l = 6, m = 1
mode number = 44, l = 6, m = 2
mode number = 45, l = 6, m = 3
mode number = 46, l = 6, m = 4
mode number = 47, l = 6, m = 5
mode number = 48, l = 6, m = 6
mode number = 49, l = 7, m = -7
mode number = 50, l = 7, m = -6
mode number = 51, l = 7, m = -5
mode number = 52, l = 7, m = -4
mode number = 53, l = 7, m = -3
mode number = 54, l = 7, m = -2
mode number = 55, l = 7, m = -1
mode number = 56, l = 7, m = 0
mode number = 57, l = 7, m = 1
mode number = 58, l = 7, m = 2
mode number = 59, l = 7, m = 3
mode number = 60, l = 7, m = 4
mode number = 61, l = 7, m = 5
mode number = 62, l = 7, m = 6
mode number = 63, l = 7, m = 7
mode number = 64, l = 8, m = -8
mode number = 65, l = 8, m = -7
mode number = 66, l = 8, m = -6
mode number = 67, l = 8, m = -5
mode number = 68, l = 8, m = -4
mode number = 69, l = 8, m = -3
mode number = 70, l = 8, m = -2
mode number = 71, l = 8, m = -1
mode number = 72, l = 8, m = 0
mode number = 73, l = 8, m = 1
mode number = 74, l = 8, m = 2
mode number = 75, l = 8, m = 3
mode number = 76, l = 8, m = 4
mode number = 77, l = 8, m = 5
mode number = 78, l = 8, m = 6
mode number = 79, l = 8, m = 7
mode number = 80, l = 8, m = 8
mode number = 81, l = 9, m = -9
mode number = 82, l = 9, m = -8
mode number = 83, l = 9, m = -7
mode number = 84, l = 9, m = -6
mode number = 85, l = 9, m = -5
mode number = 86, l = 9, m = -4
mode number = 87, l = 9, m = -3
mode number = 88, l = 9, m = -2
mode number = 89, l = 9, m = -1
mode number = 90, l = 9, m = 0
mode number = 91, l = 9, m = 1
mode number = 92, l = 9, m = 2
mode number = 93, l = 9, m = 3
mode number = 94, l = 9, m = 4
mode number = 95, l = 9, m = 5
mode number = 96, l = 9, m = 6
mode number = 97, l = 9, m = 7
mode number = 98, l = 9, m = 8
mode number = 99, l = 9, m = 9
mode number = 100, l = 10, m = -10
mode number = 101, l = 10, m = -9
mode number = 102, l = 10, m = -8
mode number = 103, l = 10, m = -7
mode number = 104, l = 10, m = -6
mode number = 105, l = 10, m = -5
mode number = 106, l = 10, m = -4
mode number = 107, l = 10, m = -3
mode number = 108, l = 10, m = -2
mode number = 109, l = 10, m = -1
mode number = 110, l = 10, m = 0
mode number = 111, l = 10, m = 1
mode number = 112, l = 10, m = 2
mode number = 113, l = 10, m = 3
mode number = 114, l = 10, m = 4
mode number = 115, l = 10, m = 5
mode number = 116, l = 10, m = 6
mode number = 117, l = 10, m = 7
mode number = 118, l = 10, m = 8
mode number = 119, l = 10, m = 9
mode number = 120, l = 10, m = 10
mode number = 121, l = 11, m = -11
mode number = 122, l = 11, m = -10
mode number = 123, l = 11, m = -9
mode number = 124, l = 11, m = -8
mode number = 125, l = 11, m = -7
mode number = 126, l = 11, m = -6
mode number = 127, l = 11, m = -5
mode number = 128, l = 11, m = -4
mode number = 129, l = 11, m = -3
mode number = 130, l = 11, m = -2
